I'm in good health.	Olen terve.
Are you sure this is in Tom's best interest?	Oletko varma, että tämä on Tomin parhaaksi?
I haven't eaten yet.	En ole syönyt vielä.
I reloaded the webpage.	Latasin nettisivun uudestaan.
It was the perfect day for a picnic.	Se oli täydellinen päivä eväsretkelle.
Are you ready?	Oletko valmis?
I'm here to see Tom.	Olen täällä nähdäkseni Tomin.
You were asleep.	Sinä olit unessa.
It has been her dream to be a university professor.	Hänen unelmansa on ollut olla yliopistoprofessori.
Tom is coughing.	Tom yskii.
I've been fairly busy.	Olen ollut melko kiireinen.
How is Tom doing?	Miten Tomilla menee?
It was a beautiful sunny day.	Se oli kaunis, aurinkoinen päivä.
The room smelled bad.	Huone haisi pahalle.
It's a very delicate question.	Se on todella arkaluontoinen kysymys.
I have to write a letter. Do you have some paper?	Minun täytyy kirjoittaa kirje. Onko sinulla paperia?
It's good enough.	Se on tarpeeksi hyvä.
How many offers did you get?	Kuinka monta tarjousta sait?
Excuse me, do you know what time it is?	Anteeksi, kuinka paljon kello on?
Are you going to attend the meeting tonight?	Aiotkon osallistua kokoukseen huomenna?
"Is he coming?" "No, I don't think so."	"Tuleeko hän?" " Ei, en luule."
Tom loved teaching French.	Tom piti kovasti ranskanopettamisesta.
Tom misled you.	Tom johti sinua harhaan.
Don't be so hard on her. She meant well.	Älä ole niin ankara hänelle. Hän tarkoitti hyvää.
You're not supposed to go hunting without a license.	Sinun ei pitäsi mennä metsästämään ilman lupaa.
I hate ironing.	Vihaan silittämistä.
Don't add sentences from copyrighted sources.	Älä lisää lauseita tekijänoikeudella suojatuista lähteistä.
Where should I pay?	Missä minun pitäisi maksaa?
I don't have a credit card.	Minulla ei ole luottokorttia.
They didn't get along.	He eivät tulleet toimeen.
You're very close now.	Olet nyt todella lähellä.
It's a legal gray area.	Se on laillista harmaata aluetta.
Bring me a bucket of water.	Tuo minulle hinkki vettä.
Are you ready for tomorrow?	Oletko valmis huomista varten?
She is a native speaker of French.	Hän puhuu ranskaa äidinkielenään.
It's been a long war.	Sota on ollut pitkä.
I don't like math.	En pidä matematiikasta.
Tom is a microbiologist.	Tom on mikrobiologi.
Can you stop yelling?	Voitko lopettaa huutamisen?
No matter how much Tom eats, he wants to eat more.	Huolimatta siitä kuinka paljon Tom syö, hän haluaa syödä enemmän.
Tom used to write songs.	Tom tapasi kirjoittaa lauluja.
Tom turned the page.	Tomi käänsi sivua.
Tom warned Mary not to go out at night alone.	Tomi varoitti Maria olemaan menemättä ulos yksin yöllä.
You're lying!	Sinä valehtelet!
Look away.	Katso muualle.
They love us.	He rakastavat meitä.
There's nothing to tell.	Ei ole mitään kerrottavaa.
He died at the age of 70.	Hän kuoli 70-vuotiaana.
Where did you go yesterday?	Minne menit eilen?
That sounds horrible.	Tuo kuulostaa kauhealta.
Tom didn't have a good time at the party.	Tomilla ei ollut hauskaa juhlissa.
Her mind is at peace.	Hänen mielensä on rauhallinen.
Drop it!	Pudota se!
Tom pointed toward the ceiling.	Tomi osoitti kohti kattoa.
Tom might be busy.	Tomilla saattaa olla kiire.
It was my suitcase.	Se oli minun matkalaukkuni.
I will stay.	Minä jään.
I like that song.	Pidän tuosta kappaleesta.
Smokers are a bunch of idiots.	Tupakoijat ovat joukko idiootteja.
Maybe Tom will give us a ride.	Ehkä pääsemme Tomin kyydissä.
I think I drank too much.	Minusta tuntuu, että join liikaa.
An eye for an eye, a tooth for a tooth.	Silmä silmästä, hammas hampaasta.
Tell me about your plan.	Kerro minulle suunnitelmastasi.
Do you think French is difficult?	Onko ranska sinusta vaikeaa?
Tom got off the bus.	Tom jäi pois bussin kyydistä.
Tom was told by his doctor to remain in bed.	Lääkäri käski Tomia pysymään sängyssä.
I'd like some more butter.	Tahtoisin vähän lisää voita.
I used to go to church on Sunday.	Kävin aikaisemmin kirkossa sunnuntaina.
Tom wasn't sure what to say.	Tom ei ollut varma mitä sanoa.
This new song is a big hit.	Tämä uusi laulu on iso hitti.
She sleeps with two pillows.	Hän nukkuu kahden tyynyn kanssa.
Tom wants to know if you'll be ready by 2:30.	Tom haluaa tietää oletko valmis puoli kolmeen mennessä.
My door is always open.	Oveni on aina sinulle avoinna.
It's very cold this winter.	Tänä talvena on hyvin kylmää.
They don't understand French.	He eivät ymmärrä ranskaa.
How many hours did Tom work yesterday?	Kuinka monta tuntia Tom teki töitä eilen?
How long have you two been married?	Kuinka kauan te olette olleet naimisissa?
I never knew you had children.	Minulla ei ollut aavistustakaan, että sinulla olisi lapsia.
Tom didn't want to go to school.	Tomi ei halunnut mennä kouluun.
Do you understand my problem?	Ymmärrätkö ongelmani?
Would you like to dance with me?	Haluaisitko tanssia kanssani?
I'm older than Tom.	Olen Tomia vanhempi.
Eat as much as you like.	Syö niin paljon kuin haluat.
Tom often talks on the phone.	Tom puhuu usein puhelimessa.
Be yourself.	Ole oma itsesi.
In most countries, teachers do not receive high wages.	Useimmissa maissa opettajat eivät saa korkeaa palkkaa.
I've found a job.	Olen löytänyt työpaikan.
I just want to ask you a few questions.	Haluan vain kysyä sinulta muutama kysymystä.
I wanted to give you a chance.	Halusin antaa sinulle mahdollisuuden.
Answer me.	Vastaa minulle.
My neck does hurt a little.	Niskaani tosiaan sattuu vähän.
If you don't want to go, you don't have to.	Jos et halua mennä, niin sinun ei tarvitse.
Don't leave the TV on.	Älä jätä televisiota päälle!
I could do nothing but stare stupidly at the printed page.	En kyennyt tekemään muuta kuin tuijottamaan typerästi sitä sivua.
I feel like having a drink.	Minua haluttaa ottaa yhdet.
Tom offered to help Mary find her lost puppy.	Tom tarjoutui auttamaan Marya löytämään hänen kadonneen pentunsa.
Is Tom famous?	Onko Tomi kuuluisa?
Tom studies French every day.	Tom opiskelee ranskaa joka päivä.
Mary is Tom's grandmother.	Mari on Tomin isoäiti.
You're stupid!	Olet tyhmä!
You're a slob.	Olet vätys.
Tom walked right into Mary's trap.	Tom käveli suoraan Maryn ansaan.
We all did well.	Me kaikki pärjäsimme hyvin.
This house belongs to my uncle.	Tämä on setäni talo.
Mary and I are in the same class.	Mari ja minä olemme samalla luokalla.
Do that for me.	Tee se minun vuokseni.
Do you know whether or not Tom plans to help us tomorrow?	Tiedätkö aikooko Tom auttaa meitä huomenna vai ei?
Don't show me her picture anymore.	Älä näytä minulle enää hänen kuvaansa.
Tom is playing with his toy truck.	Tomi leikkii lelurekallaan.
Actually, I feel like talking.	Itse asiassa minua huvittaa jutella.
Tom says that he's never been arrested.	Tom sanoo, ettei häntä ole koskaan pidätetty.
I've got a lot to offer.	Minulla on paljon annettavaa.
Tom likes blondes.	Tomi pitää vaaleaveriköistä.
Tom is a real nerd.	Tom on todellinen nörtti.
They will buy a record.	He ostavat äänilevyn.
We climbed the stairs.	Kiipesimme ylös portaita.
Can you count to one hundred in French?	Osaatko laskea sataan ranskaksi?
You're the perfect boyfriend.	Sinä olet täydellinen poikaystävä.
He slipped on the ice.	Hän liukastui jäällä.
I've never heard him speak ill of others.	En ole koskaan kuullut hänen puhuvan pahaa kenestäkään.
I want to talk to Tom first.	Haluan puhua Tomille ensin.
We left him some cake.	Jätimme hänelle vähän kakkua.
We're having some guests over this evening.	Meillä on joitakin vieraita tänä iltana.
I feel like smiling.	Minua hymyilyttää.
Both of them survived.	Molemmat selvisivät.
I know you want to keep it a secret.	Tiedän, että haluat pitää sen salaisuutena.
The muddy road has ruined my new shoes.	Mutainen tie pilasi minun uudet kenkäni.
I think I ate a little too much today.	Luulen, että söin vähän liikaa tänään.
I wonder what's happened to Tom.	Mitäköhän Tomille on tapahtunut?
Tom wanted to know Mary's phone number.	Tom halusi saada tietää Marin puhelinnumeron.
I work in the State Department.	Työskentelen Ulkoministeriössä.
They deserve it.	He ansaitsevat sen.
We all have a price.	Meillä kaikilla on hintamme.
He is a bus driver.	Hän on bussinkuljettaja.
Next time, you should buy a larger size.	Seuraavalla kerralla sinun pitäisi ostaa isompaa kokoa.
I'll tell Tom you called.	Kerron Tomille, että sinä soitit.
What happened to Tom could happen to you.	Se mitä tapahtui Tomille, voisi tapahtua sinulle.
Tom doesn't know why.	Tom ei tiedä miksi.
Were you both here yesterday?	Olitteko te molemmat täällä eilen?
How may we help?	Miten me voimme auttaa?
Are you new?	Oletko uusi täällä?
Tom is very curious.	Tom on hyvin utelias.
A good idea presented itself.	Hyvä idea tuli mieleen.
He drank detergent by accident.	Hän joi vahingossa pesuainetta.
Tom took an apple from the fruit bowl.	Tom otti omenan hedelmämaljasta.
Tom is in real trouble.	Tom on todellisissa vaikeuksissa.
We're done now.	Olemme nyt valmiita.
Tom developed a taste for French wine.	Tom alkoi pitää ranskalaisesta viinistä.
I teach geography.	Opetan maantietoa.
My father took us to the zoo.	Isäni vei meidät eläintarhaan.
Tom and Mary are John's children.	Tom ja Mari ovat Jonin lapsia.
Who committed this murder?	Kuka teki tämän murhan?
Do you still have a headache?	Särkeekö sinun päätäsi vielä?
This is the tallest tower in Japan.	Tämä on Japanin korkein torni.
He told me that he was busy.	Hän kertoi minulle olevansa kiireinen.
He holds a high position at the company.	Hänellä on korkea asema yhtiössä.
Are you sure this is OK?	Oletko varma, että tämä on OK?
Tom should have paid Mary.	Tomin olisi pitänyt maksaa Marylle.
I hate my computer.	Minä vihaan minun tietokonettani.
Tom brought me a cup of tea.	Tomi toi minulle kupin teetä.
A lot of people do it.	Monet tekevät sitä.
It's hard to teach an old dog new tricks.	On vaikeaa opettaa vanhalle koiralle uusia temppuja.
Tom always puts himself first.	Tom panee itsensä aina etusijalle.
Tom told Mary the bad news.	Tom kertoi Marylle huonot uutiset.
There is a cat in the kitchen.	Keittiössä on kissa.
I can't move my legs.	En pysty liikuttaa jalkojani.
Tom is no longer in pain.	Tomilla ei ole enää kipuja.
May I borrow your dictionary?	Saanko lainata sanakirjaasi?
He ran away with the money.	Hän pakeni rahojen kanssa.
I just got here.	Minä vasta tulin tänne.
Twelve years old is old for a dog.	Kaksitoista vuotta on korkea ikä koiralle.
Did Tom go, too?	Menikö Tomkin?
Have you talked to Tom's parents?	Oletko puhunut Tomin vanhempien kanssa?
Tom is all right.	Tom on kunnossa.
Excuse me, could you pass me the salt and pepper?	Anteeksi, voisitko ojentaa suolan ja pippurin?
I gave her a present in return for her kindness.	Annoin hänelle lahjan kiitoksena hänen kiltteydestään.
I got hit.	Minuun osui.
You will soon be able to ski well.	Pystyt pian hiihtämään hyvin.
I had to stop doing that.	Minun oli lopetettava sen tekeminen.
A doctor told me that eating eggs was bad for me.	Lääkäri kertoi minulle, että kananmunien syöminen tekee minulle huonoa.
When did you go to Rome?	Milloin kävit Roomassa?
Take care of it.	Pidä siitä huolta.
The air conditioner has got out of order.	Ilmastointilaite on mennyt rikki.
Your record is good.	Ennätyksesi on hyvä.
How do you say "I love you" in French?	Miten sanotaan ”Minä rakastan sinua” ranskaksi?
I just want to tell Tom before somebody else does.	Haluan vain kertoa Tomille ennen kuin joku muu kertoo.
I'm not poor.	En ole köyhä.
Tom couldn't believe it.	Tom ei voinut uskoa sitä.
Hi, guys.	Terve, tyypit.
They're not ready.	He eivät ole valmiina.
I was named after my uncle.	Minut nimettiin enoni mukaan.
I want to be more independent.	Haluan olla itsenäisempi.
I wish Tom had asked us for advice.	Voi kunpa Tom olisi pyytänyt meiltä neuvoa.
We tried that.	Yritimme sitä.
You're not telling the truth.	Et kerro totuutta.
Spring brings warm weather and beautiful flowers.	Kevät tuo tullessaan lämpimän sään ja kauniit kukkaset.
The Japanese destroyed Pearl Harbor.	Japanilaiset tuhosivat Pearl Harborin.
I can't see the road signs in this fog.	En pysty nähdä liikennemerkkejä tässä sumussa.
You need me more than I need you.	Tarvitset minua enemmän kuin minä sinua.
What do they do?	Mitä he tekevät?
I'm sure Tom wasn't surprised.	Olen varma, ettei Tom yllättynyt.
The food tasted slightly of garlic.	Ruoka maistui hieman valkosipulilta.
Tom grabbed a coffee and muffin on his way to work.	Tom nappasi mukaansa kahvin ja muffinin työmatkallaan.
Stand up straight when I'm talking to you!	Seiso suorassa kun puhun sinulle!
There is no wind today.	Tänään ei tuule.
You're a weirdo.	Sinä olet omituinen tyyppi.
What time is lunch?	Mihin aikaan lounas on?
You taught me a lot.	Sinä opetit minulle paljon.
I don't know how easy it'll be to change.	En tiedä miten helppoa sen muuttaminen on.
You have a very good memory.	Sinulla on erittäin hyvä muisti.
They claim that prices will go down if production increases.	Väitetään että hinnat laskevat, jos tuotanto kasvaa.
I assume you're in a hurry.	Oletan, että sinulla on kiire.
Tom's death broke Mary's heart.	Tomin kuolema särki Marin sydämen.
Tom attended Mary's graduation ceremony.	Tom osallistui Marin valmistujaistilaisuuteen.
Was that word appropriate in that situation?	Oliko tuo sana sopiva tuohon tilanteeseen?
Don't go away.	Älä mene pois.
Please don't say anything to Tom about this.	Ethän sano tästä mitään Tomille.
Sorry, I've gone and jumped to conclusions again.	Anteeksi, menin taas vetämään vääriä johtopääksiä hätäpäissäni.
Please turn off the lights when you leave the room.	Sammuta valot, kun lähdet huoneesta.
Tom is allergic to dust.	Tom on allerginen pölylle.
I need to know the truth.	Minun täytyy saada tietää totuus.
Owing to the storm, the ship could not leave port.	Myrskyn tähden laiva ei voinut lähteä satamasta.
He thinks I'm jealous.	Hän luulee, että olen kateellinen.
I brought you a little something.	Toin sinulle jotakin pientä.
Throw down your weapons.	Heittäkää aseenne maahan.
This work must be finished by Monday.	Tämä työ on saatava päätökseen maanantaihin mennessä.
We haven't increased our prices.	Emme ole korottaneet hintoja.
Are you leaving for good?	Lähdetkö pysyvästi?
That looks stupid.	Tuo näyttää tyhmältä.
Is there anything in the box?	Onko laatikossa jotakin?
I reserved my hotel room three weeks in advance.	Varasin hotellihuoneeni kolme viikkoa etukäteen.
Tom's very good at mental arithmetic.	Tom on todella hyvä päässälaskussa.
I hope I'm not disturbing you.	Toivottavasti en häiritse.
Let's go to the factory.	Mennään tehtaaseen.
Tom trained his dog to jump through hoops.	Tom koulutti koiransa hyppäämään vanteiden läpi.
No one knows what to say.	Kukaan ei tiedä mitä sanoa.
How are you planning to do that?	Miten aiot tehdä sen?
I need to go get ready.	Minun täytyy mennä valmistautumaan.
We explained the situation.	Me selitimme tilanteen.
Let's give Tom a little more time.	Annetaan Tomille vähän lisää aikaa.
I thought you lived with Tom.	Luulin, että asut yhdessä Tomin kanssa.
I'm lucky to have sincere friends.	Olen onnekas, että minulla on rehellisiä ystäviä.
Mom, when's supper?	Äiti, monelta illallinen on?
She majors in French literature.	Hän opiskelee pääaineenaan ranskalaista kirjallisuutta.
Tom graduated three years ago.	Tomi valmistui kolme vuotta sitten.
Living in a cluttered home is very stressful.	Sekaisessa kodissa asuminen on todella stressaavaa.
I wish I hadn't told Tom about what happened.	Voi kunpa en olisi kertonut Tomille siitä mitä tapahtui.
Will you help us now?	Autatko meitä nyt?
Try hard.	Yritä kovasti.
Is this seat free?	Onko tämä paikka vapaa?
We have given careful thought to both alternatives.	Me olemme harkinneet tarkkaan molempia vaihtoehtoja.
Her job was to see the children safely across the street.	Hänen työnsä oli saattaa lapset turvallisesti kadun yli.
Tell him to mind his own business.	Käske hänen pitää huolta omista asioistaan.
I want you to be nice to Tom this time.	Haluan, että olet tällä kertaa Tomille ystävällinen.
I was really unlucky.	Minulla kävi huono tuuri.
No thank you, I'm full.	Ei kiitos, olen ihan täynnä.
I love traveling alone.	Minusta on ihanaa matkustaa yksin.
How about going to the movie tonight?	Mitä jos mentäisiin elokuviin tänä iltana?
Tom rarely talks about himself.	Tomi puhuu harvoin itsestään.
It wasn't very good.	Se ei ollut kovin hyvä.
Do as I say.	Tee niin kuin sanon.
You should tell Tom that you don't plan to be in Boston next week.	Sinun pitäisi kertoa Tomille, että et ole aikeissa olla Bostonissa ensi viikolla.
What would you do?	Mitä sinä tekisit?
I want to buy a gift for Tom.	Haluan ostaa lahjan Tomille.
If you don't want to put on sunscreen, that's your problem. Just don't come complaining to me when you get a sunburn.	Jos et halua laittaa aurinkorasvaa, niin se on sinun ongelmasi. Älä sitten tule valittamaan minulle, kun palat.
She looked me in the eye.	Hän katsoi minua silmiin.
My aunt goes to Germany every year.	Tätini käy Saksassa joka vuosi.
I wish I had a lot of money.	Oispa mulla paljon rahaa.
Put the car into the garage.	Aja auto autotalliin.
The hunter shot the fox dead.	Metsästäjä ampui ketun.
Could I have one more coffee, please?	Saisinko vielä yhden kahvin, kiitos.
We need to protect our children.	Meidän täytyy suojella lapsiamme.
I'm coming.	Olen tulossa.
Do you really want Tom to do this for you?	Haluatko todella, että Tom tekee tämän puolestasi?
Industrialization often goes hand in hand with pollution.	Teollistuminen kulkee usein käsi kädessä saastumisen kanssa.
We enjoyed swimming in the lake.	Nautimme järvessä uimisesta.
It's my birthday.	On minun syntymäpäiväni.
Losing my daughter has taken away my will to live.	Tyttäreni menetys on vienyt minulta elämänilon.
How is it possible?	Kuinka se on mahdollista?
I like the smell of bread just out of the oven.	Pidän juuri uunista otetun leivän tuoksusta.
We will not surrender.	Emme aio antautua.
I have a feeling you'll get the job.	Minulla on sellainen tunne, että saat sen työpaikan.
It's extremely dangerous.	Se on äärimmäisen vaarallista.
Tom has betrayed us.	Tom on pettänyt meidät.
Ask Tom what he thinks of Boston.	Kysy Tomilta, mitä mieltä hän on Bostonista.
I wish we had a car.	Olisipa meillä auto.
Walk more slowly.	Kävele hitaammin.
Tom has waited for three hours.	Tom oli odottanut kolme tuntia.
I wish you had come with us.	Voi kunpa olisit tullut meidän mukaamme.
His house is not far from here.	Hänen kotinsa ei ole kaukana täältä.
Tom knew the risks.	Tom tiesi riskit.
I'm doing all right.	Minulla menee ihan hyvin.
Dolphins are playful animals.	Delfiinit ovat leikkisiä eläimiä.
Tom said that he did nothing wrong and that it wasn't his fault.	Tomi sanoi, että hän ei tehnyt mitään väärin ja että se ei ollut hänen syytänsä.
There is no air on the moon.	Kuulla ei ole ilmakehää.
I slept only three hours.	Nukuin vain kolme tuntia.
Tom was Mary's friend.	Tom oli Marin ystävä.
Am I talking too fast for you?	Puhunko minä sinulle liian nopeasti?
Tom was hoping the committee would adopt his proposal.	Tom toivoi että komitea ottaisi käyttöön hänen ehdotuksensa.
Tom's book was translated into French.	Tomin kirja käännettiin ranskaksi.
Speaking French is easy for me.	Ranskan puhuminen on minulle helppoa.
Tom was trying to kill Mary.	Tomi yritti tappaa Marin.
I overslept yesterday.	Nukuin pommiin eilen.
Tom was flabbergasted when he heard the news.	Tom ällistyi, kun kuuli uutisen.
Tom admitted his mistake.	Tom myönsi virheensä.
The tea is too strong. Add some water.	Tee on liian vahvaa. Lisää hieman vettä.
Recently, I don't have much appetite.	Viime aikoina minun ruokahaluni on ollut aika vähäistä.
He slowly moved forward.	Hän liikkui hitaasti eteenpäin.
You have no idea, do you?	Sinulla ei ole mitään käsitystä, eikö niin?
Why would Tom lie?	Miksi Tomi valehtelisi?
He might retaliate.	Hän saattaa kostaa.
Tell me who they were talking about.	Kerro minulle kenestä he puhuivat.
You were smart not to eat that.	Olit fiksu kun et syönyt sitä.
You owe me three hundred dollars.	Olet minulle kolmesataa dollaria velkaa.
This is the house where he was born.	Tässä talossa hän syntyi.
Do you know Tom's blood type?	Tiedätkö Tomin veriryhmän?
Boys will be boys.	Pojat on poikia.
I don't think Tom is busy.	En usko, että Tomi on kiireinen.
I kept him company while his wife was in surgery.	Pidin hänelle seuraa sillä aikaa, kun hänen vaimonsa oli leikkauksessa.
These keys are not mine.	Nämä avaimet eivät ole minun.
He must be over sixty.	Hänen täytyy olla yli kuudenkympin.
Tom is about the same age as Mary.	Tomi on suunnilleen samanikäinen kuin Mari.
My eyes itch.	Silmäni kutiavat.
As cultural exchange continued between the two countries, their mutual understanding became even deeper.	Kun kahden maan välinen kulttuurivaihto jatkui, niiden molemminpuolisesta ymmärryksestä tuli yhä syvempää.
Have you ever had food poisoning?	Onko sinulla koskaan ollut ruokamyrkytystä?
Why didn't they go?	Miksi he eivät menneet?
I used to hate Tom.	Vihasin Tomia aiemmin.
That was worth the wait.	Se oli odottamisen arvoista.
Tom says you let it happen.	Tom sanoo, että annoit sen tapahtua.
Tom went to a boarding school.	Tom kävi sisäoppilaitosta.
My father goes jogging every morning.	Isä käy joka aamu lenkillä.
I have plans.	Minulla on suunnitelmia.
I'm sorry for the mess.	Anteeksi, että täällä on niin sotkuista.
Don't sing.	Älä laula.
Do you like fishing? Maybe we could get together sometime.	Pidätkö kalastamisesta? Voisimme mennä joskus yhdessä.
How old is Tom?	Kuinka vanha Tom on?
Eat and drink.	Syö ja juo.
I learned a little French.	Opin vähän ranskaa.
How much did the tickets cost you?	Kuinka paljon liput maksoivat sinulle?
Which came first, the chicken or the egg?	Kumpi tuli ensin, kana vai muna?
What were you doing together?	Mitä te teitte yhdessä?
Tom told me you were friends.	Tom sanoi minulle, että te olisitte ystäviä.
Have you heard Tom speaking French?	Oletko kuullut Tomin puhuvan ranskaa?
The soup is too hot.	Keitto on liian kuumaa.
Do you have any idea who might want to do that?	Onko sinulla minkäälaista käsitystä siitä kuka voisi haluta tehdä niin?
I'd like to make amends.	Haluaisin korvata.
I'll chance it.	Otan riskin.
Do you follow?	Ymmärrätkö?
What are Tom's true intentions?	Mitkä ovat Tomin todelliset aikeet?
It's wonderful.	Se on ihmeellistä.
Three motorcyclists have died at this intersection this year.	Kolme moottoripyöräilijää on kuollut tässä risteyksessä tänä vuonna.
Tom speaks better French than Mary.	Tom puhuu ranskaa paremmin kuin Mary.
Tom is jealous, isn't he?	Tomi on mustasukkainen, eikö vain?
He asked me two questions.	Hän kysyi minulta kaksi kysymystä.
I think you'll be able to change Tom's mind.	Luulen, että sinä pystyt muuttamaan Tomin mielen.
Tom knocked on the door and waited.	Tom koputti ovelle ja odotti.
The wound healed.	Haava parantui.
I'm very worried about you.	Olen todella huolissani sinusta.
How embarrassing!	Miten noloa!
Tom and Mary danced with each other.	Tom ja Mari tanssivat toistensa kanssa.
I want a bottle of Coca-Cola.	Haluan pullon coca colaa.
Tom likes to show off.	Tom tykkää päteä.
I've got some dust in my eyes.	Minulla on pölyä silmissäni.
Tom got in with the wrong crowd during his teenage years and was arrested for car theft several times.	Tom ajautui väärään seuraan teinivuosinaan ja hänet pidätettiin autovarkauksista useaan otteeseen.
The shrinking of the domestic market has been blamed on inflation.	Kotimaan markkinoiden supistumista on syytetty inflaatiosta.
The President had the power to save the men from execution at the stroke of a pen.	Presidentillä oli valta säästää miehet teloitukselta yhdellä kynän piirrolla.
I may have caught cold.	Olen saattanut vilustua.
Tom asked Mary to come home.	Tom pyysi Marya tulemaan.
Don't talk.	Älä puhu.
Tom has three French dictionaries.	Tomilla on kolme ranskankielen sanakirjaa.
How long did Tom go out with Mary?	Kuinka pitkän aikaa Tom seurusteli Marin kanssa?
Tom was full.	Tom oli täynnä.
Tom was complaining of back pain.	Tom valitti selkäkipua.
Why isn't anybody doing anything?	Miksei kukaan tee mitään?
I know how scared you must've been.	Tiedän miten peloissasi sinun on täytynyt olla.
I didn't find it funny at all.	Minusta se ei ollut yhtään hauskaa.
Something must've happened to Tom.	Tomille on täytynyt sattua jotain.
I'd be grateful.	Olisin kiitollinen.
The doctor advised him to give up smoking.	Tohtori neuvoi häntä luopumaan tupakoinnista.
We'll come back tomorrow.	Me tulemme takaisin huomenna.
Tell me what happened to Tom.	Kerro minulle mitä Tomille tapahtui.
Tom was sure better times were coming.	Tom oli varma että paremmat ajat olivat tulossa.
She is probably just making a mountain out of a molehill again.	Hän vain todennäköisesti paisuttelee asiaa taas.
Tom'll find out.	Tom kyllä keksii sen.
I was nearly hit by a car.	Läheltä piti etten jäänyt auton alle.
Tom never knew his parents.	Tom ei koskaan tuntenut vanhempiaan.
You've been warned.	Sinua on varoitettu.
Tom doesn't listen to advice.	Tom ei kuuntele neuvoja.
I'm taking the job.	Otan työn.
He's a big boy.	Hän on jo iso poika.
They won't know we're there.	He eivät tiedä, että olemme siellä.
He can't stop him.	Hän ei pysty pysäyttämään häntä.
The best things in life are free.	Parhaat asiat elämässä ovat ilmaisia.
You need to be patient.	Sinun täytyy olla kärsivällinen.
The police will put you behind bars for twenty years.	Poliisi laittaa sinut telkien taakse kahdeksikymmeneksi vuodeksi.
Tom is pretty good at chess.	Tom on aika hyvä shakissa.
Tom doesn't feel like studying.	Tomia ei huvita opiskella.
The sound died away.	Ääni häipyi pois.
Tom and Mary went on a two week honeymoon to Hawaii.	Tom ja Mari menivät kahden viikon kuherroskuulle Havaijille.
Her house is just opposite the bus stop.	Hänen kotinsa on aivan bussipysäkkiä vastapäätä.
I like green tea.	Minä pidän vihreästä teestä.
Tom knows exactly what to do.	Tom tietää täsmälleen mitä tehdä.
Maybe a few of you have seen pandas in the zoo.	Ehkä muutama teistä on nähnyt pandoja eläintarhassa.
She has five older brothers.	Hänellä on viisi isoveljeä.
I killed the rat with a stick.	Tapoin rotan kepillä.
Don't ever speak to me again.	Älä puhu minulle enää koskaan!
I can do it myself.	Osaan tehdä sen itse.
Something frightened Tom.	Jokin pelästytti Tomin.
Are there penguins living at the North Pole?	Asuuko Pohjoisnavalla pingviinejä?
I probably never will come here again.	En varmaankaan koskaan enää tule tänne.
I have to find another one.	Minun on löydettävä joku toinen.
Pitch the ball.	Ota koppi.
We're studying French.	Me opiskelemme ranskaa.
They are teachers.	He ovat opettajia.
Turn off the light, please.	Voisitko sammuttaa valot?
People do stupid things when they're angry.	Ihmiset tekevät typeryyksiä, kun he ovat vihaisia.
Tom promised to make Mary a sandwich.	Tomi lupasi tehdä Marille voileivän.
I never thought that Tom would one day become vegetarian.	En olisi ikinä uskonut, että Tom ryhtyisi joskus vegetaristiksi.
My cat loves shrimp.	Kissani rakastaa katkarapuja.
Give it some time.	Anna sille vähän aikaa.
I don't have time to read.	Minulla ei ole aikaa lukea.
Tom believes that unicorns are real.	Tom uskoo, että yksisarviset ovat todellisia.
Tom is on board the ship.	Tomi on laivassa.
It's a small problem.	Se on pieni ongelma.
The worst is yet to come.	Pahin on vielä tulossa.
I've always kind of liked it.	Olen aina jotenkin tykännyt siitä.
I didn't understand your question.	En ymmärtänyt kysymystäsi.
We're not millionaires.	Emme ole miljonäärejä.
He's skilled at videogames.	Hän on taitava videopeleissä.
This is exactly what I needed.	Tämä on täsmälleen se, mitä tarvitsinkin.
Keep an eye on it.	Pidä sitä silmällä.
I did not think that he would help us.	En uskonut, että hän auttaisi meitä.
I wonder if Tom is likely to be here this afternoon.	Onkohan Tom todennäköisesti täällä tänään iltapäivästä.
I wish things could get back to normal.	Voi kunpa asiat olisivat taas entisellään.
I feel depressed.	Minua masentaa.
Please speak more loudly.	Puhu vähän kovempaa, kiitos.
Numbers that can be expressed as fractions of two whole numbers are called rational numbers.	Lukuja, jotka voidaan esittää kahden kokonaisluvun osamääränä, kutsutaan rationaaliluvuiksi.
Dinner's ready!	Päivällinen on valmis.
It's crowded again today.	Tänään on taas tungosta.
Did you know Tom was unhappy?	Tiesitkö, että Tom oli onneton?
It was a very beautiful flower.	Se oli todella kaunis kukka.
Tom wants some privacy.	Tomi haluaa vähän yksityisyyttä.
What is the situation in Boston?	Mikä on tilanne Bostonissa?
Tom still doesn't know the truth.	Tom ei edelleenkään tiedä totuutta.
I'll bring it back.	Tuon sen takaisin.
I became very sleepy after a bit of reading.	Tulin hyvin uneliaaksi pienen lukemisen jälkeen.
You must pay attention to his advice.	Sinun täytyy huomioida hänen neuvonsa.
How long have you lived in Kobe?	Kuinka kauan olet asunut Kobessa?
Do you have any ID?	Onko sinulla henkilökorttia?
Wake me up at seven.	Herätä minut seitsemältä.
There are some things we need to discuss.	On muutama asiaa, joista meidän pitää keskustella.
I feel homesick.	Minulla on koti-ikävä.
Tom wishes he could speak French.	Tom toivoo, että hän osaisi puhua ranskaa.
What did you bring me?	Mitä sinä toit minulle?
