Go.	Mene.
The news of his death spread.	Tieto hänen kuolemastaan levisi.
The nurse hit a blood vessel.	Hoitaja osui verisuoneen.
The plane has just taken off.	Lentokone on juuri noussut ilmaan.
The results were spectacular.	Tulokset olivat vaikuttavat.
The room needs to be painted.	Huone täytyy maalata.
The scenery was breathtaking.	Maisema oli henkeäsalpaava.
The sick child sat up in bed.	Sairas lapsi istui vuoteessa.
The sisters are quite unlike.	Siskokset ovat varsin erilaisia.
The sky was bright and clear.	Taivas oli kirkas ja selkeä.
The star of the show was Tom.	Esityksen tähti oli Tom.
The strike lasted three days.	Lakko kesti kolme vuorokautta.
The sun gives light and heat.	Aurinko antaa valoa ja lämpöä.
The sun was blazing overhead.	Aurinko porotti pään päällä.
The television is turned off.	Televisio on poissa päältä.
The top is turning clockwise.	Kansi kääntyy myötäpäivään.
The typhoon has done no harm.	Taifuuni ei ole aiheuttanut vahinkoa.
Then the motor suddenly died.	Sitten mottori sammui yllättäen.
There is a book on the table.	Pöydän päällä on kirja.
There is a hole in your sock.	Sukassasi on reikä.
There is a vase on the table.	Pöydällä on maljakko.
There is no life on the moon.	Kuussa ei ole elämää.
There were 30 members in all.	Siellä oli 30 henkeä kaikkiaan.
There's a fire in my kitchen.	Minun keittiössäni on tulipalo.
There's no one in the garden.	Puutarhassa ei ole ketään.
There's not much more to add.	Siihen ei ole enää paljon lisättäävää.
These are hard times, I know.	Elämme kurjia aikoja, tiedän sen.
They all look the same to me.	Ne kaikki näyttävät minusta samalta.
They bound his legs together.	He sitoivat hänen jalkansa yhteen.
They came to our aid at once.	He tulivat heti avuksemme.
They come from the same town.	He tulevat samasta kaupungista.
They declined our invitation.	He kieltäytyivät kutsustamme.
They don't speak French here.	Täällä ei puhuta ranskaa.
They don't understand French.	He eivät ymmärrä ranskaa.
They forgot to lock the door.	He unohtivat lukita oven.
They gave us one last chance.	He antoivat meille vielä yhden tilaisuuden.
They go to church on Sundays.	He käyvät kirkossa sunnuntaisin.
They lost their trust in Tom.	He menettivät luottamuksensa Tomiin.
They painted the fence green.	He maalasivat aidan vihreäksi.
They sell meat at that store.	Tuo kauppa myy lihaa.
They should wash their faces.	Heidän pitäisi pestä kasvonsa.
They visited me occasionally.	He kävivät luonani satunnaisesti.
They were drinking champagne.	He joivat samppanjaa.
They were forced to withdraw.	Heidät pakotettiin perääntymään.
They're against animal abuse.	He vastustavat eläinrääkkäystä.
They're going to have a baby.	He tulevat saamaan lapsen.
This armchair is comfortable.	Tämä nojatuoli on mukava.
This bed is very comfortable.	Tämä sänky on todella mukava.
This beer is not cold enough.	Tämä olut ei ole tarpeeksi kylmä.
This book sold well in Japan.	Tämä kirja kävi hyvin kaupaksi Japanissa.
This bus can carry 30 people.	Tähän bussiin mahtuu 30 henkilöä.
This chair is too low for me.	Tämä tuoli on liian matala minulle.
This cloth feels like velvet.	Tämä kangas tuntuu sametilta.
This desk cost me 20,000 yen.	Tämä pöytä maksoi minulle 20 000 jeniä.
This house has two bathrooms.	Tässä talossa on kaksi kylpyhuonetta.
This house was built in 1870.	Tämä talo rakennettiin vuonna 1870.
This is Tom's idea, isn't it?	Tämä on Tomin idea, eikö olekin?
This is a book about England.	Tämä on kirja Englannista.
This is a very hard mattress.	Tämä on erittäin kova patja.
This is all I can do for now.	Tässä on kaikki mitä voin tehdä toistaiseksi.
This is obviously impossible.	Tämä on ilmeisen mahdotonta.
This is the last one we have.	Tämä on viimeinen, mikä meillä on jäljellä.
This is the only alternative.	Tämä on ainoa vaihtoehto.
This is the perfect location.	Tämä on täydellinen paikka.
This is totally unacceptable.	Tätä on mahdotonta hyväksyä.
This is very important to me.	Tämä on todella tärkeää minulle.
This is very important to us.	Tämä on todella tärkeää meille.
This method is slow but sure.	Tämä metodi on hidas mutta varma.
This might be Tom's umbrella.	Tämä saattaa olla Tomin sateenvarjo.
This really is great weather.	Tämä on todella hieno sää.
This room is air-conditioned.	Tämä huone on ilmastoitu.
This sounds very interesting.	Kuulostaa todella mielenkiintoiselta.
This will never happen again.	Tämä ei tapahdu enää koskaan.
Those doors should be closed.	Noiden ovien pitäisi olla kiinni.
Three voted against the idea.	Kolme äänesti ajatusta vastaan.
Tom and Mary are both single.	Tomi ja Mari ovat molemmat sinkkuja.
Tom and Mary are mad at John.	Tom ja Mari ovat vihaisia Jonille.
Tom and Mary both dropped by.	Tom ja Mari pistäytyivät molemmat kylässä.
Tom and Mary love each other.	Tomi ja Mari rakastavat toisiansa.
Tom and Mary moved to Boston.	Tom ja Mari muuttivat Bostoniin.
Tom and Mary played checkers.	Tom ja Mari pelasivat tammea.
Tom and Mary were both drunk.	Tomi ja Mari olivat molemmat humalassa.
Tom and Mary were left alone.	Tom ja Mary jätettiin yksin.
Tom and Mary weren't married.	Tom ja Mari eivät olleet naimisissa.
Tom asked a lot of questions.	Tomi kysyi monia kysymyksiä.
Tom asked for a lot of money.	Tom pyysi suurta summaa rahaa.
Tom asked me about my mother.	Tomi kysyi minun äidistäni.
Tom asked me to help him out.	Tom pyysi minua auttamaan hänet ulos.
Tom ate a handful of raisins.	Tomi söi kourallisen rusinoita.
Tom ate breakfast by himself.	Tom söi aamiaisen yksikseen.
Tom attends church regularly.	Tomi osallistuu jumalanpalveluksiin säännöllisesti.
Tom bakes cookies on Sundays.	Tom leipoo keksejä sunnuntaisin.
Tom behaved like a gentleman.	Tomi käyttäytyi kuin herrasmies.
Tom bought Mary a few drinks.	Tomi osti Marille muutaman juoman.
Tom bought way too much milk.	Tomi osti aivan liikaa maitoa.
Tom called Mary this morning.	Tom soitti Marylle tänä aamuna.
Tom can speak French as well.	Tom osaa puhua myös ranskaa.
Tom can't help the way he is.	Tomi ei voi sille mitään, minkälainen hän on.
Tom carefully lifted the box.	Tomi nosti laatikon varovaisesti.
Tom carefully raised the lid.	Tom nosti kantta varovaisesti.
Tom carried Mary on his back.	Tomi kantoi Maria selässään.
Tom certainly likes to argue.	Tomi todella pitää väittelystä.
Tom couldn't control himself.	Tomi ei pystynyt hillitä itseään.
Tom didn't bother to respond.	Tom ei välittänyt vastata.
Tom didn't break his promise.	Tomi ei rikkonut lupaustaan.
Tom didn't do anything wrong.	Tom ei ole tehnyt mitään väärää.
Tom didn't feel like talking.	Tomia ei huvittanut jutella.
Tom didn't feel like waiting.	Tomin ei tehnyt mieli odottaa.
Tom didn't have a girlfriend.	Tomilla ei ollut tyttöystävää.
Tom didn't have any children.	Tomilla ei ollut yhtään lasta.
Tom didn't know how to react.	Tomi ei tiennyt miten reagoida.
Tom didn't like his sandwich.	Tom ei pitänyt voileivästään.
Tom didn't make any mistakes.	Tomi ei tehnyt yhtäkään virhettä.
Tom didn't want Mary to know.	Tom ei halunnut Marin tietävän.
Tom died from cancer in 2013.	Tomi kuoli syöpään vuonna 2013.
Tom died trying to save Mary.	Tom kuoli yrittäessään pelastaa Maryä.
Tom disappeared in the crowd.	Tom katosi väkijoukkoon.
Tom does not want to be late.	Tom ei halua olla myöhässä.
Tom doesn't feel like eating.	Tomia ei huvita syödä.
Tom doesn't have much choice.	Tomilla ei ole paljon valinnanvaraa.
Tom doesn't like to be alone.	Tom ei mielellään ole yksin.
Tom doesn't listen to advice.	Tom ei kuuntele neuvoja.
Tom doesn't need Mary's help.	Tom ei tarvitse Maryn apua.
Tom doesn't speak any French.	Tom ei puhu yhtään ranskaa.
Tom doesn't talk with anyone.	Tom ei puhu kenenkään kanssa.
Tom doesn't trust the police.	Tomi ei luota poliisiin.
Tom doesn't want to go alone.	Tom ei halua lähteä yksin.
Tom eats less than Mary does.	Tom syö vähemmän kuin Mary.
Tom entered without knocking.	Tomi tuli sisään koputtamatta.
Tom finally went to a doctor.	Tom meni lopultakin lääkäriin.
Tom fixed himself a cocktail.	Tom valmisti itselleen drinkin.
Tom gave Mary John's message.	Tom antoi Marille Jonin viestin.
Tom gave Mary a foot massage.	Tomi antoi Marille jalkahieronnan.
Tom had everything he wanted.	Tomilla oli kaikki mitä hän halusi.
Tom had to do a double shift.	Tomin täytyi tehdä tuplavuoro.
Tom had to go back to Boston.	Tomin oli mentävä takaisin Bostoniin.
Tom handed Mary the scissors.	Tomi antoi sakset Marille.
Tom hardly speaks any French.	Tom osaa puhua tuskin lainkaan ranskaa.
Tom has a Swiss bank account.	Tomilla on sveitsiläinen pankkitili.
Tom has a beautiful daughter.	Tomilla on kaunis tytär.
Tom has a high-pitched voice.	Tomilla on korkea ääni.
Tom has a lot of great ideas.	Tomilla on paljon mahtavia ideoita.
Tom has a personal bodyguard.	Tomilla on henkilökohtainen henkivartija.
Tom has a very stressful job.	Tomilla on hyvin rasittava työ.
Tom has always been stubborn.	Tomi on aina ollut itsepäinen.
Tom has been studying French.	Tom on opiskellut ranskaa.
Tom has been traveling alone.	Tom on ollut yksin matkoilla.
Tom has changed an awful lot.	Tom on muuttunut hirveän paljon.
Tom has come here to help us.	Tomi on tullut tänne auttamaan meitä.
Tom has done the best he can.	Tomi on tehnyt parhaansa.
Tom has his own life to live.	Tomilla on oma elämänsä elettävänä.
Tom has more money than I do.	Tomilla on enemmän rahaa kuin minulla.
Tom has never been to Boston.	Tom ei ole koskaan käynyt Bostonissa.
Tom has never gone to Boston.	Tomi ei ole koskaan käynyt Bostonissa.
Tom has never studied French.	Tom ei ole koskaan opiskellut ranskaa.
Tom has no problem with that.	Tomilla ei ole ongelmaa siinä asiassa.
Tom has the opposite problem.	Tomilla on vastakkainen ongelma.
Tom has three thousand books.	Tomilla on kolmetuhatta kirjaa.
Tom has three young children.	Tomilla on kolme pientä lasta.
Tom hasn't paid the bill yet.	Tom ei ole maksanut laskua vielä.
Tom heard a voice behind him.	Tom kuuli äänen takanaan.
Tom is Mary's brother-in-law.	Tom on Marin lanko.
Tom is a good French speaker.	Tom on hyvä ranskan puhuja.
Tom is a good friend of mine.	Tom on hyvä ystäväni.
Tom is a man you can rely on.	Tom on luotettava mies.
Tom is a professional killer.	Tom on ammattitappaja.
Tom is a very liberal person.	Tom on erittäin antelias henkilö.
Tom is a very selfish person.	Tomi on erittäin itsekäs henkilö.
Tom is a very sincere person.	Tom on todella rehellinen henkilö.
Tom is allergic to shellfish.	Tom on allerginen äyriäisille.
Tom is always looking at you.	Tom katselee sinua aina.
Tom is an effective salesman.	Tom on tehokas myyntimies.
Tom is an intelligent person.	Tomi on älykäs ihminen.
Tom is an unrepentant sinner.	Tom on katumaton synnintekijä.
Tom is back with his ex-wife.	Tom on palannut yhteen ex-vaimonsa kanssa.
Tom is completely unreliable.	Tom on täysin epäluotettava.
Tom is growing a beard again.	Tomi kasvattaa taas partaa.
Tom is having a panic attack.	Tomilla on paniikkikohtaus.
Tom is in critical condition.	Tom on kriittisessä tilassa.
Tom is in high spirits today.	Tom on hyvällä tuulella tänään.
Tom is in protective custody.	Tom on säilöönotossa.
Tom is just a little nervous.	Tom on vain vähän hermostunut.
Tom is listening to his iPod.	Tom kuuntelee iPodiaan.
Tom is more famous than Mary.	Tomi on kuuluisampi kuin Mari.
Tom is munching on something.	Tom mutustelee jotakin.
Tom is muscular and athletic.	Tom on lihaksikas ja urheilullinen.
Tom is playing with his toys.	Tom leikkii leluillaan.
Tom is progressing in French.	Tom edistyy ranskan opinnoissaan.
Tom is reading a short story.	Tom lukee novellia.
Tom is someone you can trust.	Tomiin voi luottaa.
Tom is standing on the stage.	Tomi seisoo lavalla.
Tom is still in the hospital.	Tom on vieläkin sairaalassa.
Tom is swimming in the river.	Tomi ui joessa.
Tom is wearing a hearing aid.	Tom käyttää kuulolaitetta.
Tom is wearing a white shirt.	Tomilla on yllään valkoinen paita.
Tom is wearing thick glasses.	Tomilla on paksulinssiset lasit.
Tom isn't a religious person.	Tomi ei ole uskonnollinen henkilö.
Tom isn't able to come today.	Tomi ei pääse paikalle tänään.
Tom isn't as talented as you.	Tomi ei ole yhtä lahjakas kuin sinä.
Tom kissed Mary passionately.	Tomi suuteli Maria intohimoisesti.
Tom knew that Mary knew John.	Tom tiesi, että Mari tunsi Jonin.
Tom knows a few magic tricks.	Tom osaa muutaman taikatempun.
Tom knows exactly what to do.	Tom tietää täsmälleen mitä tehdä.
Tom knows how to read French.	Tom osaa lukea ranskaa.
Tom knows many famous people.	Tomi tuntee monia julkkiksia.
Tom knows that I lied to him.	Tom tietää, että valehtelin hänelle.
Tom learned French in school.	Tom oppi ranskaa koulussa.
Tom lived to be 97 years old.	Tom eli yhdeksänkymmentäseitsemänvuotiaaksi.
Tom looks a little skeptical.	Tomi näyttää vähän epäilevältä.
Tom lost his French textbook.	Tom on kadottanut ranskankirjansa.
Tom loves to climb mountains.	Tomi rakastaa vuorikiipeilyä.
Tom made a careful selection.	Tom teki huolellisen valinnan.
Tom made a terrible decision.	Tomi teki todella huonon päätöksen.
Tom made some scrambled eggs.	Tom teki munakokkelia.
Tom made the situation worse.	Tomi pahensi tilannetta.
Tom might be able to do that.	Tom saattaa pystyä tekemään sen.
Tom mispronounces many words.	Tom ääntää väärin monia sanoja.
Tom needed to see the doctor.	Tomin piti mennä käymään lääkärissä.
Tom never mentioned it to me.	Tomi ei koskaan maininnut siitä minulle.
Tom noticed a change in Mary.	Tom huomasi muutoksen Maryssa.
Tom offered Mary more coffee.	Tom tarjosi Marille lisää kahvia.
Tom often talks on the phone.	Tom puhuu usein puhelimessa.
Tom only cares about himself.	Tom välittää vain itsestään.
Tom peeked around the corner.	Tomi kurkkasi kulman taakse.
Tom pretended to be Canadian.	Tom teeskenteli olevansa kanadalainen.
Tom pretended to be insulted.	Tomi teeskenteli, että häntä oli loukattu.
Tom pretended to be sleeping.	Tom teeskenteli nukkuvansa.
Tom pronounces my name wrong.	Tom ääntää nimeni väärin.
Tom put his hat on the table.	Tomi laittoi hattunsa pöydälle.
Tom put on his coat and left.	Tom laittoi takkinsa päälleen ja lähti.
Tom put the map on the table.	Tom asetti kartan pöydälle.
Tom ran over a dog yesterday.	Tom ajoi koiran päälle eilen.
Tom refused to help at first.	Aluksi Tomi ei suostunut auttamaan.
Tom refused to pay his bills.	Tom kieltäytyi maksamasta laskujaan.
Tom responded diplomatically.	Tomi vastasi diplomaattisesti.
Tom retired at the age of 65.	Tom jäi eläkkeelle 65:n vuoden iässä.
Tom said I'm ugly and stupid.	Tom sanoi, että olen ruma ja typerä.
Tom said he didn't like beer.	Tom sanoi, ettei hän pitänyt oluesta.
Tom said he needed more time.	Tom sanoi tarvitsevansa lisää aikaa.
Tom said his hands were cold.	Tom sanoi, että hänen kätensä ovat kylmät.
Tom said it wasn't necessary.	Tom sanoi, ettei se ollut tarpeen.
Tom said something in French.	Tom sanoi joitain ranskaksi.
Tom said that he was thirsty.	Tom sanoi, että hänellä on jano.
Tom sat in his rocking chair.	Tomi istui keinutuolissaan.
Tom saw Mary in the audience.	Tom näki Maryn yleisössä.
Tom says I'm a good listener.	Tomi sanoo, että olen hyvä kuuntelija.
Tom says he'll be a bit late.	Tomi sanoo, että hän on vähän myöhässä.
Tom says they need more time.	Tomi sanoo, että he tarvitsevat lisää aikaa.
Tom seemed busier than usual.	Tomi vaikutti tavallista kiireisemmältä.
Tom seemed genuinely shocked.	Tom vaikutti aidosti järkyttyneeltä.
Tom seemed surprised by this.	Tom näytti tästä yllättyneeltä.
Tom seems like a good friend.	Tom vaikuttaa hyvältä ystävältä.
Tom shot himself in the foot.	Tom ampui itseään jalkaan.
Tom shot one of the soldiers.	Tom ampui yhden sotilaista.
Tom should consult an expert.	Tomin pitäisi pyytää neuvoa asiantuntijalta.
Tom should have married Mary.	Tomin olisi pitänyt mennä naimisiin Marin kanssa.
Tom should've told the truth.	Tomin olisi pitänyt kertoa totuus.
Tom shoved Mary into the car.	Tom tuuppasi Marin autoon.
Tom shoved Mary out the door.	Tom tuuppasi Marin ulos ovesta.
Tom showed Mary his passport.	Tom näytti Marille passinsa.
Tom shuffled across the room.	Tom laahusti huoneen halki.
Tom signaled Mary with a nod.	Tom antoi Marille merkin nyökkäämällä.
Tom sipped his coffee slowly.	Tom siemaili kahviaan hitaasti.
Tom sipped his hot chocolate.	Tomi hörppäsi kaakaotansa.
Tom slipped on a banana peel.	Tomi liukastui banaaninkuoreen.
Tom sold his company to Mary.	Tom myi yrityksensä Marille.
Tom sold his house in Boston.	Tom myi Bostonin talonsa.
Tom sometimes goes to Boston.	Tomi käy toisinaan Bostonissa.
Tom sounded pretty desperate.	Tom kuulosti melko epätoivoiselta.
Tom still has a lot to learn.	Tomilla on vielä paljon opittavaa.
Tom stopped to speak to Mary.	Tom pysähtyi puhumaan Marille.
Tom strolled down the street.	Tom käyskenteli pitkin katua.
Tom studies French every day.	Tom opiskelee ranskaa joka päivä.
Tom suddenly stopped smiling.	Tom pysähtyi yhtäkkiä hymyillen.
Tom talked to Mary yesterday.	Tom puhui Marille eilen.
Tom teaches French in Boston.	Tom opettaa ranskaa Bostonissa.
Tom thought I'd let him down.	Tom luuli, että pettäisin hänet.
Tom thought he saw a pattern.	Tom kuvitteli nähneensä kaavan.
Tom thought that was amusing.	Tomin mielestä se oli huvittavaa.
Tom threw a rock at the tree.	Tom heitti kivellä puuta.
Tom told Mary to stop eating.	Tom käski Maria lopettamaan syömisen.
Tom told Mary what not to do.	Tom sanoi Marille, mitä ei pidä tehdä.
Tom told me I could call you.	Tom sanoi minulle, että voisin soittaa sinulle.
Tom told me about it himself.	Tomi itse kertoi minulle siitä.
Tom told me you speak French.	Tom kertoi minulle, että puhut ranskaa.
Tom told me you were friends.	Tom sanoi minulle, että te olisitte ystäviä.
Tom told me you were helpful.	Tom kertoi minulle, että te olitte avuliaita.
Tom told me you were in here.	Tom kertoi minulle, että olisit täällä.
Tom told me you work for him.	Tom kertoi minulle, että olet hänellä töissä.
Tom tried to intimidate Mary.	Tom yritti pelotella Maria.
Tom tried to open the window.	Tomi yritti avata ikkunaa.
Tom turned off his desk lamp.	Tom sammutti pöytälamppunsa.
Tom turned on the table lamp.	Tom sytytti pöytälampun.
Tom turned the light back on.	Tom sytytti valon uudelleen.
Tom understood it completely.	Tomi ymmärsi sen täysin.
Tom unscrewed the light bulb.	Tom irrotti lampun.
Tom used Mary's credit cards.	Tom käytti Marin luottokortteja.
Tom used to date my daughter.	Tomi seurusteli aikoinaan tyttäreni kanssa.
Tom volunteered to help Mary.	Tom auttoi Marya vapaaehtoisena.
Tom waited more than an hour.	Tom odotti yli tunnin.
Tom waited to hear from Mary.	Tom odotti Maryn kuulumisia.
Tom walked across the street.	Tom kulki kadun poikki.
Tom wanted to buy some sugar.	Tom tahtoi ostaa sokeria.
Tom wanted to live in Boston.	Tom tahtoi asua Bostonissa.
Tom wanted to live on a farm.	Tom halusi asua maatilalla.
Tom wanted to make a snowman.	Tomi halusi tehdä lumiukon.
Tom wanted to move to Boston.	Tom tahtoi muuttaa Bostoniin.
Tom wanted to save the world.	Tom halusi pelastaa maailman.
Tom wanted to see Mary again.	Tom tahtoi nähdä Marin uudestaan.
Tom wanted to see Mary happy.	Tom tahtoi nähdä Marin onnellisena.
Tom wanted to send a message.	Tom tahtoi lähettää viestin.
Tom wanted to stop and think.	Tom halusi pysähtyä ajattelemaan.
Tom wanted to talk with Mary.	Tom halusi puhua Maryn kanssa.
Tom wanted to wash his hands.	Tom tahtoi pestä kätensä.
Tom wants us to go to church.	Tom haluaa meidän menevän kirkkoon.
Tom wants way too much money.	Tom haluaa aivan liian paljon rahaa.
Tom wants your parking space.	Tom haluaa autopaikasi.
Tom was asleep half the time.	Tom nukkui puolet ajasta.
Tom was caught by the police.	Poliisi nappasi Tomin.
Tom was daydreaming in class.	Tom näki päiväunia tunnilla.
Tom was in a meeting all day.	Tom oli kokouksessa koko päivän.
Tom was injured in the blast.	Tomi haavoittui räjähdyksessä.
Tom was kicked out of school.	Tom potkittiin pois koulusta.
Tom was late for the meeting.	Tom oli myöhässä kokouksesta.
Tom was obviously a rich man.	Tom oli ilmeisen rikas mies.
Tom was one of the survivors.	Tomi oli yksi eloonjääneistä.
Tom was sitting on the floor.	Tom istui lattialla.
Tom was suddenly very hungry.	Tomille tuli yhtäkkiä kova nälkä.
Tom was very courteous to us.	Tom oli todella kohtelias meille.
Tom washed his hands quickly.	Tomi pesi kätensä nopeasti.
Tom wasn't at home yesterday.	Tom ei ollut kotona eilen.
Tom wasn't there at the time.	Tom ei ollut siellä silloin.
Tom went back to his bedroom.	Tom meni takaisin makuuhuoneeseensa.
Tom went back to his writing.	Tom palasi kirjoituksensa pariin.
Tom went back to watching TV.	Tom palasi television katselun pariin.
Tom went to Boston last week.	Tom meni Bostoniin viime viikolla.
Tom went to Boston last year.	Tom meni Bostoniin viime vuonna.
Tom went to Boston on Monday.	Tom meni Bostoniin maanantaina.
Tom went to Boston yesterday.	Tom meni eilen Bostoniin.
Tom went to church with Mary.	Tom meni kirkkoon Marin kanssa.
Tom went to school with Mary.	Tom kävi samaa koulua Marin kanssa.
Tom went with Mary to Boston.	Tom meni Marin kanssa Bostoniin.
Tom will be thirty this year.	Tom täyttää tänä vuonna kolmekymmentä.
Tom will never agree to that.	Tom ei koskaan tule olemaan samaa mieltä.
Tom will never see you again.	Tom ei näe sinua enää ikinä.
Tom will show you what to do.	Tom näyttää sinulle mitä tehdä.
Tom will take the 2:30 train.	Tom tulee 2:30 junalla.
Tom wishes to speak with you.	Tom haluaa puhua kanssasi.
Tom won't be able to help us.	Tomi ei pysty auttaa meitä.
Tom won't be at school today.	Tom ei tule tänään kouluun.
Tom won't be here next month.	Tom ei ole paikalla ensi kuussa.
Tom won't be working with me.	Tom ei tule työskentelemään kanssani.
Tom worked through the night.	Tom teki töitä läpi yön.
Tom would be my first choice.	Tom olisi minun ensimmäinen valintani.
Tom yelled at Mary in French.	Tom huusi Marille ranskaksi.
Tom's French isn't very good.	Tomin ranskan kielen osaaminen ei ole kovin hyvä.
Tom's apartment is cluttered.	Tomin huoneisto on sekaisin.
Tom's birthday was yesterday.	Eilen oli Tomin syntymäpäivä.
Tom's car has 100 horsepower.	Tomin autossa on 100 hevosvoimaa.
Tom's car has run out of gas.	Tomin autosta loppui bensa.
Tom's closest friend is Mary.	Mari on Tomin läheisin ystävä.
Tom's family lives in Boston.	Tomin perhe asuu Bostonissa.
Tom's father is an alcoholic.	Tomin isä on alkoholisti.
Tom's girlfriend is Canadian.	Tomin tyttöystävä on kanadalainen.
Tom's letters stopped coming.	Tomin kirjeet lakkasivat tulemasta.
Tom's name isn't on the list.	Tomin nimi ei ole listalla.
Tom's parents are immigrants.	Tomin vanhemmat ovat maahanmuuttajia.
Tom, are you feeling alright?	Tom, onko sinulla kaikki hyvin?
Too many sweets make you fat.	Liika karkki lihottaa.
Turn down the volume, please.	Säätäisitkö ääntä vähän pienemmälle?
Uranus is similar to Neptune.	Uranus on samankaltainen kuin Neptunus.
Variety is the spice of life.	Vaihtelu virkistää.
Wait. I can't walk that fast.	Odota. En pysty kävelemään noin nopeasti.
Walking is the best exercise.	Käveleminen on parasta liikuntaa.
We all live in the same dorm.	Asumme samassa asuntolassa.
We are all out of cigarettes.	Meiltä kaikilta on tupakat loppu.
We arrived there before noon.	Saavuimme sinne ennen puolta päivää.
We ate curry rice last night.	Söimme curryriisiä eilen illalla.
We can't do this without Tom.	Emme pysty tekemään tätä ilman Tomia.
We charge a commission of 3%.	Otamme 3 %:n välityspalkkion.
We get together once a month.	Me kokoonnumme yhteen kerran kuussa.
We had nothing to talk about.	Meillä ei ollut mitään puhuttavaa.
We have lots of things to do.	Meillä on paljon tehtävää.
We have plenty to talk about.	Meillä on paljon puhuttavaa.
We have to move very quickly.	Meidän täytyy liikkua todella nopeasti.
We listened to the bell ring.	Kuuntelimme kellonsoittoa.
We live close to the station.	Me asumme aseman lähellä.
We love each other very much.	Me rakastamme toisiamme todella paljon.
We made some stupid mistakes.	Teimme hölmöjä mokia.
We meet again in three hours.	Tapaamme uudestaan kolmen tunnin päästä.
We met each other at a party.	Tapasimme toisemme juhlissa.
We need to destroy this tape.	Minun täytyy tuhota tämä nauha.
We only have three days left.	Meillä on enää kolme päivää jäljellä.
We regard him as a great man.	Pidämme häntä merkittävänä miehenä.
We rode a boat to the island.	Matkasimme saarelle veneellä.
We should adopt his proposal.	Meidän tulisi omaksua itsellemme tämä ehdotus.
We should take up meditation.	Meidän pitäisi alkaa meditoimaan.
We still have a lot to learn.	Meillä on vielä paljon opittavaa.
We went swimming in the lake.	Menimme uimaan järveen.
We were all rather exhausted.	Me olimme kaikki varsin uuvuksissa.
We were meant for each other.	Olimme toinen toisillemme tarkoitettuja.
We work at the same hospital.	Olemme töissä samassa sairaalassa.
We'd better go back a little.	Meidän olisi parempi mennä hieman taaksepäin.
We'll go when the rain stops.	Kun sade loppuu, me lähdemme.
We're better off without you.	Me pärjäämme paremmin ilman sinua.
We're going back to the ship.	Olemme menossa takaisin laivaan.
We're leaving this afternoon.	Me lähdemme tänään iltapäivällä.
We're not in the 80s anymore.	Emme enää ole 80-luvulla.
We're running out of options.	Meiltä alkaa loppua vaihtoehdot.
We're well ahead of schedule.	Olemme reilusti edellä aikataulua.
We've got to call the police.	Meidän pitää soittaa poliisille.
We've had a very hard winter.	On ollut erittäin rankka talvi.
Were you both here yesterday?	Olitteko te molemmat täällä eilen?
What advice did Tom give you?	Minkä neuvon Tom antoi sinulle?
What am I supposed to do now?	Mitä minun pitäisi tehdä nyt?
What are our plans for today?	Mitkä ovat meidän suunnitelmamme tälle päivälle?
What are the neighbors doing?	Mitä naapurit tekevät?
What are you going to do now?	Mitä sinä aiot tehdä nyt?
What are you guys doing here?	Mitä te tyypit teette täällä?
What direction are you going?	Mihin suuntaan olet menossa?
What do you expect in return?	Mitä sinä odotat vastineeksi?
What do you feel like eating?	Mitä sinun tekisi mieli syödä?
What grade is your sister in?	Millä luokalla siskosi on?
What is she so unhappy about?	Mistä syystä hän on niin onneton?
What is your favorite animal?	Mikä on suosikkieläimesi?
What kind of job do you want?	Minkälaista työtä sinä haluat tehdä?
What more can a girl ask for?	Mitä muuta tyttö voi pyytää?
What other options do I have?	Mitä muita vaihtoehtoja minulla on?
What usually causes the pain?	Mikä kivun yleensä aiheuttaa?
What were you doing together?	Mitä te teitte yhdessä?
What were you thinking about?	Mitä sinä ajattelit?
What would you like to drink?	Mitä haluaisitte juoda?
What you say is usually true.	Se mitä sanot pitää yleensä paikkansa.
What're you so nervous about?	Mistä sinä olet niin hermostunut?
What's this chair doing here?	Mitä tämä tuoli täällä tekee?
What's today's exchange rate?	Mikä on tämän päivän vaihtokurssi?
What's wrong with your phone?	Mikä sinun puhelintasi vaivaa?
When and where shall we meet?	Missä ja milloin tapaisimme?
When will you come back home?	Milloin sinä tulet takaisin?
Where are her other pictures?	Missä ovat hänen muut kuvansa?
Where did you go last Sunday?	Missä kävit viime sunnuntaina?
Where does Tom eat breakfast?	Missä Tom syö aamiaisen?
Where does your grandpa live?	Missä isoisäsi asuu?
Where in Canada are you from?	Mistä päin Kanadaa olet kotoisin?
Where is the Finnish embassy?	Missä on Suomen suurlähetystö?
Where is the nearest station?	Missä on lähin asema?
Where's the closest bus stop?	Missä on lähin bussipysäkki?
Which bed do you want to use?	Mitä sänkyä haluat käyttää?
Which team will win the game?	Mikä joukkue tulee voittamaan pelin?
Which train are you catching?	Millä junalla menet?
Who am I to second guess him?	Kuka minä olen häntä arvostelemaan?
Who is your favorite TV star?	Kuka on suosikkitähtesi TV:ssä?
Who pushed you into the pool?	Kuka työnsi sinut uima-altaaseen?
Who wants some hot chocolate?	Kuka haluaa kuumaa kaakaota?
Who was invited to the party?	Kenet kutsuttiin juhliin?
Who will look after your dog?	Kuka huolehtii koirastasi?
Who's playing hockey tonight?	Kuka pelaa lätkää tänä iltana?
Who's your favorite lyricist?	Kuka on sinun mielirunoilijasi?
Why are you doing this to me?	Miksi teet tämän minulle?
